Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof,left_foot_height,right_foot_height
11,-0.352635383605957,-0.5783656239509583,84.03956604003906,0.8160538019136753,1.4085569965686349,91.99437503178748,8.969552,5.6862154,24.295557,5.881217,-7.271067,-3.6590683,6.9644346,-7.475981,-24.815966,5.9551916,-6.4838643,5.9207807,-0.7423496,0.3770725,-2.352866,2.4590175,14.768475,-35.410217,57.2985,3.110327,0.40164015,8.14588,4.9502807,-14.911921,29.239769,57.109318,1.8175617,-0.6295407,-12.357294,18.041202,12.811291
12,-0.4656262099742889,-0.8476331830024719,84.06217956542969,0.8555315551601055,1.3085777564046202,92.21257214193508,8.82575,5.5477,24.222572,5.859027,-7.1844935,-3.356982,6.87378,-7.6501145,-24.95737,6.019029,-6.4970555,6.0917025,-0.7273765,0.30680484,-2.2583249,0.4440696,14.942602,-34.519695,56.134,3.056406,0.52212477,8.375666,3.6483943,-15.108053,28.251728,55.084835,1.8194419,-0.9590788,-13.303724,17.998639,12.761833
13,-0.5853679776191711,-1.1737685203552246,84.0987548828125,0.8370351320763293,1.1089917972353045,92.44840118615188,8.714728,5.426698,23.937822,5.8183055,-7.081177,-3.2061152,6.844059,-7.7391605,-24.985523,6.0491676,-6.412317,6.0604973,-0.6636531,0.2820421,-2.0323749,-1.9618223,15.184486,-33.663918,54.63071,2.893878,0.52970266,8.942191,2.2432573,-15.400751,27.158812,52.65667,1.9220109,-1.519731,-14.399649,17.968179,12.737198
14,-0.7049522995948792,-1.5540179014205933,84.1578369140625,0.7412997312668999,0.8396800815982555,92.485781327121,8.553176,5.435973,23.768274,6.06895,-7.178375,-2.8051202,6.848184,-7.7790103,-25.130089,6.021761,-6.2147007,6.218134,-0.67133105,0.13627328,-1.7587036,-5.2634425,15.467054,-32.912926,52.84132,2.7921898,0.64022493,9.46759,0.12998293,-15.739224,26.027065,50.055714,2.4892077,-2.128836,-16.137304,17.945865,12.680718
15,-0.808010458946228,-1.9798835515975952,84.18273162841797,0.7287483753758485,0.6878236519691441,92.56208327362556,8.2691965,5.3213553,23.508957,6.1717415,-7.291364,-2.6822827,6.6817245,-7.8401003,-25.009825,5.953784,-6.051778,6.184161,-0.49575943,0.035553303,-1.2344545,-9.66842,15.8603115,-32.199978,50.8386,1.653986,0.2858608,10.056199,-2.7064607,-16.2086,24.834124,47.213303,2.419684,-2.6840699,-17.469204,17.932892,12.608135
16,-0.8896855711936951,-2.4380390644073486,84.2166748046875,0.7833174698575557,0.5763437865537373,92.58410261765154,8.011496,5.0754504,23.185526,6.0272493,-6.986985,-2.5833902,6.3469872,-8.062841,-25.053848,6.16878,-6.118776,6.0538883,-0.41022515,-0.044352677,-0.7047914,-14.390571,16.26627,-31.681704,48.9043,0.81048405,-0.025363171,11.089499,-6.1424694,-16.696554,23.723625,44.5284,3.859419,-3.4576428,-18.587786,17.973246,12.583739
17,-0.9370296001434326,-2.916098356246948,84.2463607788086,0.9349447731021086,0.4181746481457027,92.6452349046052,7.594772,4.7487617,22.510212,6.1936436,-6.799684,-2.4070768,6.1487575,-8.243645,-24.83377,6.0614696,-6.048076,5.9767613,-0.0877258,-0.30448288,-0.18701723,-20.869904,16.736526,-30.915155,46.559704,-0.2863329,0.4187537,11.94986,-10.7988615,-17.320179,22.74629,41.74063,4.672025,-3.8178532,-19.987669,18.045865,12.499063
18,-0.9559861421585084,-3.396664619445801,84.33536529541016,0.9129893625900594,0.1467180837796554,92.65623371185778,7.37696,4.6274014,21.930872,6.2052593,-6.3952913,-2.1270232,5.948136,-8.303936,-24.801334,6.2367754,-6.00965,5.9000287,0.2641537,-0.6406736,0.47742602,-28.178759,17.222656,-30.373842,43.816162,0.14464831,1.3904693,12.562231,-16.660053,-18.078875,22.220932,39.3982,5.3989635,-3.995211,-21.742779,18.136844,12.460274
19,-0.9352147579193116,-3.857744455337525,84.39282989501953,0.9084013097856772,-0.0881471743878241,92.68319110296638,7.2196693,4.590127,21.766396,6.157383,-6.19549,-1.9268539,5.7912955,-8.315679,-24.768282,6.262571,-5.801907,5.7881417,0.35398775,-0.9393105,1.4636289,-36.15328,17.70884,-29.818462,41.49338,-1.8787103,1.0271558,13.195906,-24.486462,-18.945017,21.902306,37.596348,7.875881,-3.5024483,-22.185564,18.139341,12.425895
20,-0.8702109456062317,-4.276524543762207,84.44232177734375,0.9735780144860688,-0.1560796292076516,92.59671907861303,6.7849708,4.5125413,21.390213,6.360923,-5.9091687,-1.6857325,5.49852,-8.337365,-24.662443,6.1954665,-5.4930835,5.6455526,0.42826873,-1.232217,2.6353762,-44.29492,18.21687,-28.963839,38.84411,-2.6165118,1.1819247,14.060008,-32.422836,-19.897438,21.969166,36.082645,9.052461,-3.4822624,-23.627531,18.233731,12.364676
