root_translateX,root_translateY,root_translateZ,root_quaternionW,root_quaternionX,root_quaternionY,root_quaternionZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
0.020732348784804344,-0.009403018280863762,0.7804089188575744,0.9978566473607874,0.0036003603134364686,0.06528653028493714,0.0026110700597350473,-0.11379026692268955,0.1507270786134267,0.22233069348961781,0.14761938154697418,-0.1173529028892517,-0.17410767078399658,-0.09265970911007484,-0.16707062789909988,-0.3002168100486845,0.13647820055484772,-0.14068523049354553,0.1949976831674576,-0.019595861434936523,0.0,0.0,-0.16826400160789487,0.33500927686691284,-0.8470240831375122,1.1233848333358765,0.058681655675172806,-0.026929795742034912,0.03635941445827484,-0.22753404080867767,-0.26221898198127747,0.7923017144203186,1.1594455242156982,-0.10013617575168608,-0.02636178955435753,0.004161544609814881,-0.04545628743459396,0.16635787501657817,0.031720154921437066,-0.050290934922909536,-0.1724809138562905,0.029178926935764984
0.02149740234017372,-0.00949128158390522,0.7805330753326416,0.9978381877018319,0.004680029828404518,0.06548412931762616,0.0029794785184232954,-0.11169906050052153,0.14821898195731165,0.22325095558804897,0.14563879370689392,-0.11889513581991196,-0.17455443739891052,-0.091317634654845,-0.1692943426062996,-0.30162949889016966,0.1372721642255783,-0.1431991159915924,0.19818635284900665,-0.020362498238682743,0.0,0.0,-0.16934363543987274,0.33491525053977966,-0.8503233194351196,1.1194821596145628,0.05864519625902176,-0.02473568357527256,0.03294460475444794,-0.22683233022689817,-0.2634744942188263,0.7891234755516051,1.1578681468963623,-0.09701360762119293,-0.024252634495496746,0.008456702344119549,-0.04575586594820974,0.1663748409325313,0.03212465413662438,-0.050729159056761286,-0.17200724471228235,0.029160803659220642
0.02207127958536148,-0.009412009268999101,0.7805286049842833,0.9977937751086702,0.0059130915646303335,0.06601216937826385,0.0038744285400860853,-0.11093941671672468,0.14560921044454211,0.2220670273706361,0.1431356370449066,-0.11802803725004196,-0.17463664710521698,-0.09185814461518398,-0.17244898395881858,-0.30240973041937935,0.13908420503139496,-0.146683007478714,0.20040304958820343,-0.02255238406360149,0.0,0.0,-0.171144500374794,0.33629453182220453,-0.8538221716880798,1.1151537895202637,0.05792952328920364,-0.0248247142881155,0.03176705911755562,-0.22539681196212769,-0.26453933119773865,0.785856544971466,1.1556713581085205,-0.08971799165010451,-0.022749371826648712,0.012978535145521164,-0.04602600590465697,0.16710073966037486,0.032460945613279404,-0.05078763561975354,-0.17171989906698767,0.028987675593410037
0.022832307964563366,-0.009140528738498688,0.7807492613792419,0.9976980659969086,0.0066744269880988595,0.06729886488557435,0.004988378045218631,-0.11291829225703462,0.143904675504122,0.22059760194690456,0.1417524367570877,-0.1163688078522682,-0.17455805838108063,-0.0943390891812631,-0.1746596705112835,-0.30118283083555064,0.14144471287727356,-0.15050414204597473,0.2016768902540207,-0.025152958929538727,0.0,0.0,-0.1725378930568695,0.3378681242465973,-0.855639636516571,1.1126430034637451,0.055514108389616006,-0.02379785291850567,0.032750803977251046,-0.2238514870405197,-0.26391372084617615,0.7832005620002745,1.1530687808990479,-0.08307795226573944,-0.02141526341438293,0.017721595242619514,-0.045931135121907246,0.1678070237304551,0.032922646681620975,-0.050714862004494876,-0.17166223016780294,0.029201259087790084
0.02259908802807331,-0.00899367593228817,0.7809520363807678,0.9974906286997555,0.006758854085007065,0.07022088619074424,0.0059825320902472025,-0.12222783122516005,0.1437811816682668,0.21907043126675835,0.14585478603839874,-0.11765648424625395,-0.1745430678129196,-0.10355483390010897,-0.17593092231202778,-0.2984902146218925,0.1473880112171173,-0.15506616234779355,0.20186613500118253,-0.028257625177502632,0.0,0.0,-0.17581437528133392,0.34041649103164673,-0.852182149887085,1.1122230291366575,0.04988691210746765,-0.0215667262673378,0.03467376157641411,-0.222448855638504,-0.26262953877449036,0.7805041074752807,1.1488866806030271,-0.07823960483074188,-0.02043970860540867,0.022899284958839417,-0.04614195108986368,0.1679398470044533,0.033270266961799196,-0.050883409784282796,-0.1720267405468081,0.029587789545545046
0.021542103961110115,-0.008544542826712132,0.7808727025985717,0.997002834298769,0.006370940435404996,0.07681807209802755,0.006613873096166491,-0.1477793189231469,0.14547284318725473,0.21791519531172512,0.16495417058467865,-0.12686815857887268,-0.17490392923355103,-0.12997681776488804,-0.17783204335115865,-0.2934958628277722,0.16898149251937866,-0.16550740599632263,0.20107917487621307,-0.031100597232580185,0.0,0.0,-0.18316081166267395,0.34469023346900934,-0.8440279364585875,1.1096776723861694,0.044347479939460754,-0.018985142931342125,0.03642382472753525,-0.2239406853914261,-0.26221364736557007,0.7785933017730714,1.141254186630249,-0.07522547990083694,-0.02067323960363865,0.02817804552614689,-0.04648037772449942,0.16760381345083078,0.03354607110197827,-0.05106398715733711,-0.17191899954878,0.030142993895320203
0.01928393542766571,-0.008068328723311424,0.7798157930374146,0.9960421788884519,0.006039218970364174,0.08846839622847752,0.006070302968911708,-0.198715227946672,0.14905255719281896,0.2179734302958784,0.2117832899093628,-0.15091867744922635,-0.17527076601982117,-0.18462041276835406,-0.18226924900239605,-0.2855961084548009,0.2204938977956772,-0.18861740827560425,0.1996442675590515,-0.03280027210712433,0.0,0.0,-0.1936223953962326,0.3516097366809845,-0.8307498097419738,1.1026980876922607,0.04246051609516144,-0.017586348578333855,0.038520291447639465,-0.2312773764133453,-0.2643892168998718,0.7771184444427489,1.1303914785385132,-0.0745646059513092,-0.023586217314004895,0.032096609473228455,-0.046883747118826674,0.16619418859421106,0.03372438081219231,-0.051063629919630794,-0.17068189381913765,0.030649599676134936
0.014852367341518402,-0.007373339496552944,0.7767797708511353,0.9942558604661949,0.006121052629391716,0.10677827496408189,0.004026988829124491,-0.28179479055944806,0.15417595721817223,0.22052942816307414,0.29389479756355286,-0.191059485077858,-0.17386870086193085,-0.2750903258480448,-0.18898038682699303,-0.2714690356866706,0.30682894587516785,-0.22598303854465485,0.19781835377216336,-0.033356454223394394,0.0,0.0,-0.20780982077121732,0.36125853657722473,-0.8099137544631958,1.0880842208862305,0.044187646359205246,-0.01714498922228813,0.043853066861629486,-0.24797824025154117,-0.2688717544078827,0.7722625732421875,1.1183922290802,-0.0735870972275734,-0.0271284393966198,0.034135375171899796,-0.04839400917220798,0.16306438607963344,0.03391850321255406,-0.051161899934997576,-0.16788650088861054,0.031135436393987144
0.008286403492093086,-0.006330406758934259,0.770663022994995,0.9910913892222359,0.007021328689816061,0.13298991605081578,0.001497124498830095,-0.4060283192708617,0.1607574494791062,0.22101842466089597,0.42276957631111145,-0.24432460963726044,-0.17012079060077667,-0.4116562048028561,-0.19922446685560158,-0.24913788969544998,0.439111202955246,-0.2758654057979584,0.19606411457061768,-0.034602515399456024,0.0,0.0,-0.2244964838027954,0.37669220566749567,-0.7794654369354248,1.0643897056579588,0.04769280180335045,-0.018962031230330467,0.05518990382552146,-0.27330055832862854,-0.27841717004776,0.7610113620758056,1.1019117832183836,-0.06870593875646591,-0.03242988511919975,0.030497156083583832,-0.051036966262958464,0.15837805685231338,0.035523743103426944,-0.049977121019080445,-0.16361991963379355,0.03290878688972934
-0.0004882435314357281,-0.004738070070743561,0.7599407434463502,0.9860147720455338,0.008832156514332497,0.16641906317557537,-0.0012480909680427591,-0.5642292428177943,0.16728511556016534,0.22356232776792986,0.5872949957847595,-0.3092924654483795,-0.16749802231788635,-0.5775436198027961,-0.20721785153741257,-0.2202927958746121,0.5827935934066772,-0.3267372846603393,0.19125138223171237,-0.03239099308848381,0.0,0.0,-0.25313910841941833,0.3967401683330536,-0.7404384613037108,1.0287113189697263,0.052426282316446304,-0.02327029779553413,0.06888788938522339,-0.3100528419017792,-0.2959723174571991,0.738528847694397,1.0829540491104124,-0.05423654988408089,-0.037456214427948,0.026079406961798668,-0.05505409122109004,0.1511432684795099,0.03905374481328884,-0.04766323264172414,-0.15833478308987453,0.03462395714542464
