root_translateX,root_translateY,root_translateZ,root_quaternionW,root_quaternionX,root_quaternionY,root_quaternionZ,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint,left_foot_height,right_foot_height
0.020732348784804344,-0.009403018280863762,0.7804089188575744,0.9998779296875,0.011666768230497835,-0.004690743051469326,0.0011822236701846123,0.028282729908823967,0.16463972628116608,0.20129193365573883,0.14761938154697418,-0.1173529028892517,-0.17410767078399658,0.03969505429267883,-0.22204388678073883,-0.27327439188957214,0.13647820055484772,-0.14068523049354553,0.1949976831674576,-0.019595861434936523,-0.018691118806600567,0.13975811004638672,-0.16826400160789487,0.33500927686691284,-0.8470240831375122,1.1233848333358765,0.058681655675172806,-0.026929795742034912,0.03635941445827484,-0.22753404080867767,-0.26221898198127747,0.7923017144203186,1.1594455242156982,-0.10013617575168608,-0.02636178955435753,0.004161544609814881,0.03538416748605697,0.029048050770808395
0.02149740234017372,-0.00949128158390522,0.7805330753326416,0.9998779296875,0.01218563038855791,-0.0044465726241469375,0.0015489561483263967,0.029978621751070023,0.16341078281402588,0.20246064662933347,0.14563879370689392,-0.11889513581991196,-0.17455443739891052,0.04126411303877831,-0.22328510880470276,-0.27449336647987366,0.1372721642255783,-0.1431991159915924,0.19818635284900665,-0.020362498238682743,-0.017619265243411064,0.1396794468164444,-0.16934363543987274,0.33491525053977966,-0.8503233194351196,1.1194821596145628,0.05864519625902176,-0.02473568357527256,0.03294460475444794,-0.22683233022689817,-0.2634744942188263,0.7891234755516051,1.1578681468963623,-0.09701360762119293,-0.024252634495496746,0.008456702344119549,0.03562784385779104,0.029180503752206956
0.02207127958536148,-0.009412009268999101,0.7805286049842833,0.9998779296875,0.01276935078203678,-0.003532840870320797,0.0024436118546873327,0.02965387515723705,0.16189533472061157,0.2016468048095703,0.1431356370449066,-0.11802803725004196,-0.17463664710521698,0.04042182490229607,-0.2249465435743332,-0.27510628104209894,0.13908420503139496,-0.146683007478714,0.20040304958820343,-0.02255238406360149,-0.016482094302773476,0.1389136165380478,-0.171144500374794,0.33629453182220453,-0.8538221716880798,1.1151537895202637,0.05792952328920364,-0.0248247142881155,0.03176705911755562,-0.22539681196212769,-0.26453933119773865,0.785856544971466,1.1556713581085205,-0.08971799165010451,-0.022749371826648712,0.012978535145521164,0.035741730874094046,0.02918345806392815
0.022832307964563366,-0.009140528738498688,0.7807492613792419,0.9998779296875,0.013570534996688364,-0.001747821574099362,0.003493735566735268,0.026677701622247692,0.15987415611743927,0.20059870183467865,0.1417524367570877,-0.1163688078522682,-0.17455805838108063,0.037127040326595306,-0.22665192186832428,-0.2737778127193451,0.14144471287727356,-0.15050414204597473,0.2016768902540207,-0.025152958929538727,-0.016754578799009323,0.1378980129957199,-0.1725378930568695,0.3378681242465973,-0.855639636516571,1.1126430034637451,0.055514108389616006,-0.02379785291850567,0.032750803977251046,-0.2238514870405197,-0.26391372084617615,0.7832005620002745,1.1530687808990479,-0.08307795226573944,-0.02141526341438293,0.017721595242619514,0.03612863435554413,0.029363210832780578
0.02259908802807331,-0.00899367593228817,0.7809520363807678,0.9998779296875,0.014276339672505856,0.0015332186594605444,0.0043740845285356045,0.016933083534240723,0.15831346809864044,0.19935287535190585,0.14585478603839874,-0.11765648424625395,-0.1745430678129196,0.02710583619773388,-0.22845593094825745,-0.270950049161911,0.1473880112171173,-0.15506616234779355,0.20186613500118253,-0.028257625177502632,-0.01829095371067524,0.13713115453720093,-0.17581437528133392,0.34041649103164673,-0.852182149887085,1.1122230291366575,0.04988691210746765,-0.0215667262673378,0.03467376157641411,-0.222448855638504,-0.26262953877449036,0.7805041074752807,1.1488866806030271,-0.07823960483074188,-0.02043970860540867,0.022899284958839417,0.036510637432313316,0.029522438082834022
0.021542103961110115,-0.008544542826712132,0.7808727025985717,0.9998779296875,0.014623519964516161,0.00699510145932436,0.004847164731472731,-0.005980236921459436,0.1589279472827911,0.1977875381708145,0.16495417058467865,-0.12686815857887268,-0.17490392923355103,0.0029310607351362705,-0.23164723813533783,-0.26501932740211487,0.16898149251937866,-0.16550740599632263,0.20107917487621307,-0.031100597232580185,-0.020155275240540504,0.13935978710651395,-0.18316081166267395,0.34469023346900934,-0.8440279364585875,1.1096776723861694,0.044347479939460754,-0.018985142931342125,0.03642382472753525,-0.2239406853914261,-0.26221364736557007,0.7785933017730714,1.141254186630249,-0.07522547990083694,-0.02067323960363865,0.02817804552614689,0.036796566591038984,0.02978665691418649
0.01928393542766571,-0.008068328723311424,0.7798157930374146,0.9997557997703552,0.014602412469685076,0.014590965583920479,0.004094169940799475,-0.04856416210532189,0.16339577734470367,0.1961466372013092,0.2117832899093628,-0.15091867744922635,-0.17527076601982117,-0.04319406300783157,-0.23775538802146912,-0.25447556376457214,0.2204938977956772,-0.18861740827560425,0.1996442675590515,-0.03280027210712433,-0.021368680521845818,0.147480770945549,-0.1936223953962326,0.3516097366809845,-0.8307498097419738,1.1026980876922607,0.04246051609516144,-0.017586348578333855,0.038520291447639465,-0.2312773764133453,-0.2643892168998718,0.7771184444427489,1.1303914785385132,-0.0745646059513092,-0.023586217314004895,0.032096609473228455,0.03682106388801653,0.03006480537267313
0.014852367341518402,-0.007373339496552944,0.7767797708511353,0.9996337294578552,0.014409574680030344,0.023812431842088696,0.001738231279887259,-0.1133611351251602,0.17263095080852509,0.19487978518009183,0.29389479756355286,-0.191059485077858,-0.17386870086193085,-0.11426936089992525,-0.24652259051799771,-0.23482505977153775,0.30682894587516785,-0.22598303854465485,0.19781835377216336,-0.033356454223394394,-0.021846020594239235,0.16578376293182373,-0.20780982077121732,0.36125853657722473,-0.8099137544631958,1.0880842208862305,0.044187646359205246,-0.01714498922228813,0.043853066861629486,-0.24797824025154117,-0.2688717544078827,0.7722625732421875,1.1183922290802,-0.0735870972275734,-0.0271284393966198,0.034135375171899796,0.03660432347127902,0.030350456588837733
0.008286403492093086,-0.006330406758934259,0.770663022994995,0.999267280101776,0.01435759663581848,0.03443380072712898,-0.001256194314919412,-0.2062035948038101,0.18651413917541504,0.1885385066270828,0.42276957631111145,-0.24432460963726044,-0.17012079060077667,-0.21704028546810153,-0.25826168060302734,-0.2026987075805664,0.439111202955246,-0.2758654057979584,0.19606411457061768,-0.034602515399456024,-0.02179832383990288,0.1972975581884384,-0.2244964838027954,0.37669220566749567,-0.7794654369354248,1.0643897056579588,0.04769280180335045,-0.018962031230330467,0.05518990382552146,-0.27330055832862854,-0.27841717004776,0.7610113620758056,1.1019117832183836,-0.06870593875646591,-0.03242988511919975,0.030497156083583832,0.037310638122787725,0.031783194625578604
-0.0004882435314357281,-0.004738070070743561,0.7599407434463502,0.9987785220146179,0.014280596747994421,0.04633650556206703,-0.004469608888030052,-0.3208672106266022,0.2043258249759674,0.18078489601612088,0.5872949957847595,-0.3092924654483795,-0.16749802231788635,-0.3357801735401153,-0.2650173008441925,-0.1610475182533264,0.5827935934066772,-0.3267372846603393,0.19125138223171237,-0.03239099308848381,-0.019837908446788788,0.2411908656358719,-0.25313910841941833,0.3967401683330536,-0.7404384613037108,1.0287113189697263,0.052426282316446304,-0.02327029779553413,0.06888788938522339,-0.3100528419017792,-0.2959723174571991,0.738528847694397,1.0829540491104124,-0.05423654988408089,-0.037456214427948,0.026079406961798668,0.039113822744614064,0.03261330940763055
